DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human,0.59777778,39,rrrprsppspspspsprsprsspsssprprprspspsrpsrpsrprpprpsrpsrprpsrpsrprprspprprprppsrsprrprprprrprrrrrrsrrsrsrsrsrsrsrsrsrsrrrrrrrrprprprprprprprprrrrrrrrprprprprssspspspspspspsrprsprpsprrrrrrrrrrrsrsrsrsrsspssprprrprprprrprrrsrrrprsppspspspsprsprsspsssprprprspspsrpsrpsrprpprpsrpsrprpsrpsrprprspprprprppsr
human,0.77037037,40,prppsprppsprppsrppsrpprpspprprpprsppspspsppspsprpprprpspsprrrspspsprppsprppsprprpsprprrsrsrrsprpprsrprpspsprppsprprppsprprppsprprsprpprprprrrsssssrprrrppsprpsprppsrpprsprprppsrpprpsrsssrrsrspspssprpspssprpsprspprspspprppsprpprsprpsprpspprpsprpsppsprppsrpspprpsppsprppsprpsrpsprprrpsprppsprppsprppsrpp
machine,0.23925926,41,prsrppprssprsrspsspprssrpprsrpsprspsrrppsprprppprssssrsrpspprsrrppssspprrssrrspsspprrprprpsrprsspsrrsprsprpsrppsppssrsrrrrsprrprpsspprsppsrrrrpsprrrpsssrspprrsppppssrrrpsprrprsrrrppprpprrspprprsrrsrsppssrppsrsprspsrpssprrrsprssrrsprsrsspssssrprpspsprsrpprspspprrsrpprrsprsrpprssprspppssssrrrrspsppsrr
machine,0.22518519,42,psrsrprprprpppsrsrrppprrpspsprsrrrrprrppprpsrprrssprsprpprrrpssrspprpprssrspssrpsssssspspspsprsrprsprrrrrrpspprrpprssrrrpspssrppsspprsrrpppprrrrprrspssrrrrpspprsppsrssrppssspssspsrspprsrsrspprprpsppppspspprpspsrsppprspsrrpppppsssspspsrrprprrrprssprssrrsrrppprrrsrrppppprprrpprsssrrsppsprpsppssspssrps
machine,0.22148148,43,rppsssrrsrspprrsppsssrrsrrprpspspsrrpppsprrpssrrrrssrrpspppssrppssprsrppspssssssprprsrssspsppsrsrprspsssrpsprrsppppsprrppssrprssspsrppssprrrrprrsssrprpsrpssspsrprssssrsspspprppprrrsssppprpssrprsppssprsrprsssppsrssrppsssssrrprpsssrsrsrrssrrpsrsrssrprrppprsppsssprpssprrrrsprrrspssspprspppssrppsprrsrsr
machine,0.19777778,44,rsrpprsspspprspsspprprppsrpprrsrrrrprrrrrrsrrpssprrssrrppppsrsssrrprrrrsppssssspssrsrrprrspssrrrsrrpspprspspprprspssrpsrrspssrsrspsppprpprsrprrrrssrpsrssrssppsrspprrrrrsrsrrppprppsrsprrsprsppsrppsrpppsprrpsrsppprrpppppprsppsssrssrrpsprrrrsppsrrspssrsspssrprprssprrspsrssprsppsspssrppssrpsprpprppsprpr
machine,0.21851852,45,ssrsprppsprssrsrpprsrsrrspsrrprpsppsrsrrsrspssrssrpppppppprpsprrpsspsrprrpssssrsssssrrspprsrrrrrppppppsspppprsrrrppprspsppssprpssspssprsspssrsrpssssprrspssssppppspprrrprrrsprsppprrrppssrssrpssssppsprspprsrsprprrspppsprprrprpsrrrpsrppsssrrrsprrrspsssrpsrppspprsrpspprrrsprrrsrsrrsrssrsrppppsppppprpsss
human,0.85333333,46,rpsprsprpsrpsrpsrpsprsprpsrpsrpsprsprpsrpsrpsprsprpsrpsrpsprsprpsrpsprsprpsrpsrpsrpsprsprsprpsrpsprsprpsrpsrpsprsprpsrpsprpsrpsrsrsrpprsprprppsrppsprpsprpsprpsrpsprprppspsprpsrpsprpsprpsrpppprpsrpsprpsprsprpsprpsprpsprpsprpsrpsprpsprpsrpsprpsrpsprpsprpsprpsrpsprpsrpsprpsrpsprpsrpsrpsprpsrppsrpsprpsr
machine,0.23259259,47,prrrprsssrrsppppprrsrrpprssrrpppsrprrrppprpssrprrprsrsssppppsrsprssppsprrrpsprsppssspspprpprpprsspspsppprrsppsrpspsrpsprsrssrpprpprprrpssrprprspsrrprpprrrsrpsrpspsspprrpsprsspspprppssppppprsprprrprsrsprrrprrsrprssrrprsssrspppprrpppprsrsprrrrpsrsppsrpssprrpssrppppppsrsrssprrssssprrprrssrsrrsssrppssrs
machine,0.18296296,48,rpsrrrsprrprrpprrsrspppprrsssprrpppsrsssrrrrppssrrrspsrrprssrrrpsrrspsssrprpsrpsprssspprppsrpppprprppsssssrsrssrsssppsprppsprprrrrprrssrrprprprpsrrspsrrrpprrrprppspssrprssrpprrsrsrsspprrsrppsrppppssrprpsrspspsppppspprppprsspsspsrrpspsprrrrspsrspsspspppsprpprspppsprrpppssrpsprrrsrsssssppspsrssrrrpsss
human,0.88148148,49,pspsppspspprrprprprprprprsprpspsppsprpsrpsprpsrpsrprprpprprprprpsrpsrrspsprpsrprspprrrrpsrpsprspsssprprprpprpsrpsprppsrpspspsprprpprprpsrpsprpsppsprsprpsrpsrpprpspsrprpsrpsrprspprsrpspsrpsrprsprspsrprprsppsrpsrpsrpsrpsrpsrprspprsprprprpspsprpsrprspsrprsprsprspsrpspsrprpsrprspsrsprsprpsrpspsrprpsprpr
human,0.9562963,50,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
machine,0.25037037,51,pssrssrppssrrrprrpsprpsppsprssrsrppsprsrspsssrsrppsrsprsssrrsppsrrspsrrssprspssssppssppppspsrrpssspsprrpsspspsppsspprrsrpsrrprrpprrsppsrpsppspsssrpssrrssrsrsprpsrpppspsprppprpsrprpprpsprsrppprspsrssprsrsppprsrppsppsrrpsrrrrprrrsspsrrpprsppsrrrrrsrprsssppsrsrpssrprprrspssprpspsprsprspsspssprpsppsrrps
machine,0.25333333,52,rsprpsppprsprrrrsrprprpppsspprrsprsrpssprspsrssrpsrspssrprsrprrpppprrrrprrpsprsrprsspsrpprpspsrsppsprrprrppsrrssppppsppppspppsrrssrssprrrsrsssrrppppprspppppsprrrprppppprsrrsrprrsssrrssprprspprpsssrprrprrrprppsrprsprsssrsrppprrsrpsrpspsspppsppsrpssppsprpprrssrsprrrppsppsrprspppsssspssssrpppppspsrprrs
machine,0.18962963,53,rrprrssssrsppprspprsprprpprrspsppspppssrrpppppprsrrpssrsrssrpspppppspsprsrpspssppsspssspsprsssrsrpsspspsspsspprrprrrsrpsppprsrrsppspsspppsssrpppssprrprprrrprrsrsrprssrssrrrppsprrspppsrsrrrppsssrpprrrpsrsrrrppsssssrrrpsspprpppsrrrsprrrppspsrssspsrssprprpssrrsrsrsprpsrrrsppssrssrprrrpsprsrrssspsrrprrr
human,0.76740741,54,psprpsrprprsprsprpsprpsrpsprpsprpsrpsprsprpsprpsrppsrpsrpsprpsrppsrpsprpsrpsrppsrpsrpsprpsprpsrppsrpprspsprpsrpsprprsppsrprpsprsprpsrpprspsprpsprpsrpsprpsprpsrpsprpsrpsprspprsprpsprpsrpsprprpsrpsprpsprpsprpsrpsprpsrppsrpsrpsprpsprpsrpsprpsprpsrpsprpsprpsrpsprpsprpsrpsprpsprpsrppsprpsrpsprpsrpsrpsprp
human,0.56,55,psprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprspsprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprspsprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprspsprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprspsprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprspsprrrrpssppsssprprpsprpssrpsprrspspspsprpsprssprs
machine,0.23703704,56,sssrprrsrpppssssrrpppsspprpprrpprrsppssrpsppsrpsrrpsrsprppsrssppprrsrprssrsrspsspsssprpssrsprrrprsrsrpprpspprssspprrsrprprssprrsprrsrppppsprsrrsrrspprrsrrsprsrrssspprsrsprssrprssrssppprsrrprrsrssrsppsrpsspspssrprsppsppsrsssprsrsssrsspssspsprprsrrrrpppsrprrsrrrpprppssrpsppssrrssprprsrrsssprpssrrssrpp
human,0.7162963,57,rprsprsrrsprppsrppsrsprpsprpsprsprpsrpsprprppsprpsprprpsprpsrpsrspprpsrprprpprpsrpsrpprsrprppsprpsprsprprprspspprsprprprspprprpsrpsrpprpsrpprrprsrpsprpsrprpsprpsrpsrpsprsrpprpsprprppspspspprprppsprsppprspprpsprpsrpsrsprprpprprspsppprprpspsrpppsprprpsppsrpsrpsrppspsppsprpsprprpsppssprpsprspsprpsppssp
human,0.72444444,58,prprpsrprsprprsrprprprppprprprprspprssrsrsrsrsrsrsspspspspspsrrpsrpsrprprpsprsprppppsrsprpprprprpppprprrrprprpsssssrrprpsppsrpsprrpsprsprsprsprpsprpsprpsrsprprspsrprpsrprpprprprprpspssrsrsrsrsrrsrsrsrsrsrrsspspspsppspspsppspspspsppprrrprprprprpsrsrpsprpsprpsprsrpsrpspsprsprrsprspsrprprpsrprsprprsrpr
human,0.77111111,59,prpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrsprpsrs
