DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human or machine,0.042,10,rrsprrppprpppssrspsrprrsspspprrpsrsspprssppsrsrprrpsrpprrpsprrppssrrppprssprpsrpsprpsrrppsrrrrrssrsrsspspsprrsrrpsspsrrrspprprpssrsprsspsrrssppppsssprprprrpssspsrrprpssrrprsprpspspssrsrprrprpprrprpppsrrsrsssrrrpprpsssrrssprsrppssrsrpprppprrspsrsprrssrspprrpssrssrsrprppspssppsrrspsprpsssrsspprrrsrrpp
human or machine,0.042,11,psprpsprsprpsrpsprsprpsrpsprpsrpsprsprpsrpsprsprpsprpprprpsprppprrpsrpsprsprpsrsprsrpsprpsrpsrprpprsprpsrpsrpsprsprpsprpsrpsprpsrpsrpsrpsrsprsprsppspsrpsrpspsrpsrpsrsprppsrprspsrpsrpsrpspsrpsrpsrpsrprspsrpsprsprsprsprpsrpsprpsrpsrpsprpsrpsrpsprsprpsrpsrpsrpsrsprpsrsprpsrsprpsrpsrpsrpsrpsprspprpsrpsp
human or machine,0.042,12,pppsrrprrprrrpssssrpspprsprrrsspsspprsrpsppprspsprrrrrsprsrpssrsprsrpsrprssrspsssrsprpsrsrpprsrpppppsprpspssrsrppsrrspsspsrrspprspsrppsppppsrrrpsppsrssprppssrprrrsssssrsrssppsrprrssrrppsrrsspppppssrspprrrrrpsrprrrrsssrspsrppppssrpsrpsrsrrrrsrpsrrsrppsrsrrpssrrrrrssrpssrrpprrppsprpprprprssrrpsppsprsp
human or machine,0.042,13,prpsrpsrpsrpsrpsprpsrpsrpsprsprsprpsprsprsprpsrpsprsprsprpsrpsrpsrpprsprsprsprsprpsprsprsprpsrpsrpsprsprpsrpsrpsrpsprpsrpsrpsrpsrpsprsprpsrpsrpsrpsprsprpsrpsrpsrprsprpsrpsprsprsprpsrpsrpsrpsrprpsprsprsprpsrpsrpsrpsrprpsrsprpsrpsrpsprsprprsprsprsprsprpsrpsrprsprsprpsrpsrpsrpsrsrprspprsprsprsprsprpsrp
human or machine,0.042,14,rssprsrsppprsrsrpssrpsrrsprsrssrsrprsppsprrrrprsssprpsrspsppssprsrsspsssppssrsrprrprspprssrrsrrsrrrrrspsssspprrpprrrsppspsssprppsprrrsrrrprsrrpssrrspprrpssspprrsprsssrrrsprpsrrsrrprpsrrrppprsrrpprrrprrrsppppsssrrsprssssppprssssspprrrprpsppsrsprpppsprspprprsrrrpprsrsrsssspprrprsrsprrprsrsrsrrrsrrsrpp
human or machine,0.042,15,rprppspspspsrpsprpsrspprspsprsprpspsrprpsprppsprpsrpsprpsrpsprpsprpsprpsrpsprpsrpsppsrpsprprpspspsppsrprsprpspspsrprpsprprrprppsrpsprpsrpsprpsrpsprpsprpsprpsprpspsrsprpspppsrppspppssprpsrpprprprprpsprprrsrsrsrrsrsrpsrppsrpsrpsprpsprsprpsprpsprpsppsrpsrppsrpsprpsprpsprpsprppsrpspsrprspsrpsrpsrprppsps
human or machine,0.042,16,pprpsrrrpspprsppsrpspprpsppsrrsrrpsspsssppsrrppsspppsrrppppsrsrssrprssrrssspprsprppssssspssspsrsrsrrrssrprspsprsppsspsrpsppsrspsrrsrrsppssrsrsrpprrsrrrsrpprrppppssspssrsppppprsrrsrsrrrrrsrsrpppppppssprpsprsrspsrprsrpppppprrsrpspprpprpsrsrsrrrprpprprsrrprpsrrprssrsrspprpspsprsrssrprrrspppsppssrsrsrss
human or machine,0.042,17,pssssprrrrsrrpsspppppsspsrssrrspprrsspssprssrrrrpsprrsprspspspspssrrsssrprspprspprprprrsprrsppsppssrpssprsrsprpsssssprrssrrprpprpspppprsrpsprsrpsrrrpssppsrrrrsrsssrsppssppspssrssprsprrprrsrspsrspsrrprprsrprrrssrrpsprrsssrprpsssrsrpspprpsprssrrsrsrpssrrprspsrsssprpsppspprsprrsrrsssspsrsrpppsssrssppsr
human or machine,0.042,18,psprsprpspspsrpsrpsrpsprsprprssprrpsprssprsprpsrpsrpsrpsprsprsprpsrpsrpsrpsprsprpsrpsprsprpsrpsrpsprsprpsrpsprsprsprpsrpsprsprpsrpsprsprpsprpspppprprprrpppprprsppspsprpsrpsrpsrpsrpsprsrpsrpsprpspsrpsrpsrpsrprsppsrprpsrspsrppsrpprspsrpsrpsrprsppsprprspsrpsrppsrppsrsprspsrpsprsprspsrpsrprspsrpsrpsrpps
human or machine,0.042,19,spsrprsprpprpsrpsrprpssprpprprppprpspprprprsprprprpprprpsprprsprsprsprsprspsprrpprsprprsppsprpsrprspprspprsprsprsrsprsprsprprprsprsprsprsprsprsprsprspprsprsprspsprpspsrpprssppspspsprprspsrprsprsprsprsppsrprprsprsprsprsprsprsprsprsprsprsprsprsprspprsprsprsprspsprprsprpprprsprspsrprsprsprsprspprsprspr
human or machine,0.042,20,rpsrpsprpsrpsprpsrpsrppsrpsrpprppppsprpsrpsprpsrppsrpsprspppspsprppsrprsprpsrpsprpsrpsrpsprpsrpsprpsrpsprpsrpsrppsrpsrpsprpsrppsrpsrppsrpsrpsprpsrprspprsprspsprpsrpsrpsprpsrpsrpprppppsrpsppsprsprprppsrpsrppsrpsrpsprpsrpsprpsrpsrpsppsrpsrpsrpsrppsrpsrpsrppsrpsrprsprppprspsprsprpsrpsprpsrpsrpsprprspsr
human or machine,0.042,21,sssssrsssspsrsppprspppprrprsrpprpprpsspssrprrsrsrrsrrrprrsppprprssrsprsssrrssprsspprrrprssprsrpssprpssprssprsrsssrssrpssppppprrprrprrspsrprpsrssrrsrsrprrsrpsprrspppspsprpppsppssrrsprrsssprppsprpppsppppprrsspssspssrsrrrrpssrrrppssppspsprppprssrprprrsrrrpprppssrrpspprrppsrrppprrpprssrssssrrsrssspsrrpr
human or machine,0.042,22,rsspppssprsspspprsprrsrprpppsssrssspppssspppsrrpsppprsspssprssprprrrrrrppsprrprrssspspprppsprprrssrprrsssssprrppsrppssrsrrspprrrrrrspppprsssssprpsrsspprprsrpsrrrrsppprssrspsrpppprssrpsrrppppsrrrprsspsrrspsssrspssrrrpprppppprprsspssrsprsppspssrprpssppppsssrsrrsrsprsspsprrpsrrrpsrrrrrrpprssrrprrrpsspr
human or machine,0.042,23,srrrprrspppsprrrrrsprsspppprsrrsprrsssrsppprpprsrrpprsprsrsrrprppssprrprpsrsprsrsrrrppsrssrssrrsssspsrrpspsrspssrsrrppsrrsrpsrrrsrsrpsrprpsrrrsrppsrpssppppsrsppsprssrpssrrrpsrssrrsrrsprsrsppppprsrrspprsrrpssrrspsssrrppprrsrsprprspppsssrrpsrrpssrprrrspsprrssrrspprrrrspprprppppsrpppsrpsrrspprrsspsrsss
human or machine,0.042,24,psrrrsprrspssprprsprppsrsssrrprrprrpspsrrpprppsprprssrsppsrrrsrpsrrprpspprrsrrpsrspsrssprssspprrprrsprrprsprsssrrrpsrprspppprppprssprsrrrppsrsrssprsppsprrssspsrrpssrspprrprprrrrrpsrprprprrpsspsrrsssspssrrpsrsrssprprrrprppsrrpsrsprpprppppssppspppsrsspspsrpprspppprpspsrrsrssprprsrssrppssrsssssrppspsps
human or machine,0.042,25,psprppspsprppprsrprrrrpssprppppsrpsrsrpspssrrpppprprrsssppsprsprsspprsrssppssrspprsprsprprpsrrrspprrrrssrpprpsrppsrrspsspppppprrprrprssrrpsrprssspsrppspspsrrrrppprrsspprpsrsprsrrsrrprrrpprpssrrpsprsrsprspprpssrrrprrpssprppprrrppssrrrsrrprprrpssrrrrppsspsrprrssrrrrprpsspsrrrrpsrsrrrrsrsrprspsrprrsrsr
human or machine,0.042,26,psprpsprpsprpsrpspprpsrpsprpsprpsrppsprprprspsprpsrpsprpsrpsprpsprpsprpsprpsprpsrpspprpsrpsprpsprpsrppsprprprspsprpsrpsprpsrpsprpsprpsprpsprpsprpsrpspprpsrpsprpsprpsrppsprprprspsprpsrpsprpsrpsprpsprpsprpsprpsprpsrpspprpsrpsprpsprpsrppsprprprspsprpsrpsprpsrpsprpsprpsprpsprpsprpsrpspprpsrpsprpsprpsrpp
human or machine,0.042,27,ppspsrpsprpsrpsprpspspprprpsprsprpsprsprprprsprpsrpsprsprprpsrpsppsrpsrpsprpsrpsprpsrprppsrpsrpsprprsprpsrpsprsppspsrpsprprpsprppsrpsrpspsrprpsprsprpsrpsrpsprpprpsprpsrppsrpsspspsprpsppsrpspspprsprpsrpsprrprprpsprprpsprpspsrpsprpsrprprpspsprprsprpsrpsprrpsprprprpsrprppsrprprpprprpsprprprprprpprprprp
human or machine,0.042,28,rpprpsrprsppspsppspspspspsprpspspsprsprpsppssppspspsppsprsprpsprpsrppsrprsprpspspprpsprpsprpsprpspsprspsprprpsspsprpsprprspprpsppspsspsppspsspppspspspsppsprpsprsppsrpsprpsprpsprpsprpspsrprspprpsrpsprsprpspprspsrpsprpprpspspprpspspsprsppsspsppspsrpsprsppsprspprspsrpsprspprpsprprpspsrpprsrpsprppsprpsr
human or machine,0.042,29,pspsrssrssrssrssrrpprprsppspsrrpsrssrrpppprrrpsspssrppprrrrppsrrsrpprsrprssprprssrrpspppsssssrsspsprspspsprprprrrpppppprpppsrrsrrsrrprsrsppsprprsssspprprsprsrprsrrrpprssrppsspprprsprprrrpprrrprpsrrprrsrrrsrspsssrrsrppsprsprrprrrsprrrrspsrrpsprpprsrsssrprrrrsrrrppsprsrppsrprsppprsrrpsprsrpsrrsssrpspp
human or machine,0.042,30,sprpprrppprspprrpsprppspsprpsrprpprprppsppprpprpsppprspprspprpspprprppspprppsprsppprpsrppsprprppsrprprrppsprpspprspprspsprppsprpspprsprppspppsprpprspprpprprpspprprprprpsppspspsprprprprspppspspsssprprpsrprpspsspsrprpprsprppsrpsrpsrpprprsprpsprpspprsprrpsprsprpspsppprprpsprpsprpprrppprspprrpsprppspspr
human or machine,0.042,31,ssprprssssprpprsrrrppppsrrprppppsspppppprrssrsrrpsrppsprrsrssrppsrpsprsspprrpppsssrrsprrppsspssrspprrssrrpssspsssprsspprsrrsspsrrprpprsrprprrsspppprpprprsrprprpsrppssprprspprrsssrssrssrsspprpsrsrprrrpsrpprrprpsprrprsrrrpsprsspssprrrsppsrrrssrrsrspssprspssspprrpppprssprprpsprrssssrrrpprrrrpsprrrrrssp
human or machine,0.042,32,rpsrpsprprpsprsprsprpsprsprsprpsprsprpsrsrpsprsprpsprsprsprpsprprsprpsrpsprsprpsrsrsrsprpsrpspprprpprpspsrspprsprpsrpsprpsrpsprsprpsrpsprsprpsprpsrpsprsprppsrpsprpsprsprpsrpsprpsrpsprprpsrpsprsprpsprsprpsprpsrsrrppsprsprpsprpsrpsprpsprprpsrpsprpsrpsrpsrppsrpsrpsprpsrpsprpsrpsrpsprpsrpsprrprrpprspspr
human or machine,0.042,33,rpsprpsrpsrpprsprsprprsprspsrprprspsrppsrpsrpsrpsrpsprsrprprpsrsrsrpsrsprprprpsrpspsrpsrpsrpsrpsrpsrpsrprprspsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrprppsrprspsrpspsrprsprsprsprspsrpsrpspsrpsrpsrpsrpssspspspspprprpprprprprpprpspsprpsprprpsprpsrpsrpprsprsprprsprspsrprprspsrppsrpsrpsrpsrpsprsrprprpsrsrsrps
human or machine,0.042,34,rppprrssssssrpssrppprrpssrprsrrsspssrssssrprpsprpsprrppprsrsrrrrrrprprssrrprssssrssspsrsssrppsrssrrssprrpsprrsspspsrrspppssrprpssprrppprprrsprssspppspsrpprprsrssrrsrrpsssspspsrpprspppprrsrrsrprrppsprrspsspspspsprrpprsrrrrrsrprppsrrppppppsrprsprpprpprppsrppspsrprpssrsprssrrssprsrrrrprpppprprppspspsss
human or machine,0.042,35,psrrpprrsspsprssrspppprrrpssrssrsrsrsssrprprpsprrprsrprrrrpsrsrpppspppprsrrsspssrpssprspprpsspsppspssrspsrprsssrprprrppsspsrrpssppprpsspppprrrpssrpssprpprrspppprsspsrrrrprsrprpsspsrrssspprrpsrrrprsspsrpprspssrsspsssspsrsssrrrrprsrprsrprsrrprppsrrrsrsrrrpsssppsssrrsrrrrssrssrrppprsrpspprpspppprprppps
human or machine,0.042,36,pssrrrrppsppspprrpppsssrprsrsrspsrpppsssprprppsprsssprrssppppspssrspsrrrrpppsrpssspspsppssrprspsrprsprspppssrrrsppprrpppppspsspppppprssrspsssrppsrrsrsrpppsprrsssrrpsrssprssppprspsrrrprrrprsspsrrrpsrpspsprsrppspspsrppsrpprrsspprpsprrsrprpssspsrsssprrrrprspssrppsrssrrrrrsrpsrprpsrrspsrspppprrpsrpsssrs
human or machine,0.042,37,rpspssrpsrrsspsppsppprrrrrsrpspsrprsrpssssrpsrpprpssrpppppppsrprpprpprppsssssrprsspsrsrsppprsrrrrsrssspsrsprpspsrsrsrsrrppppsrsrsprrpprsrrrpsrpsrssssrssrspprsprpprsppsrspsrsrprsprsprprppsppsrsrrrrpprpspprrssssrrrrrprrsprsrrrsrrrrprrssrrprspprsrrrpsrsssrrssprrrrsrsrsrprpssprrsrssppprrprpspsrprrrrppsp
human or machine,0.042,38,rrrrprprspsrpsrpsrpsrpsrpsprsprpsrpsrpsprsprsprpsrpsrrrrrrrrrrppppsssssrsrsrsrsrspsppprprsprsrsrsrrrsrsrsrsrsrsrsrrsrpsrpsprpsrpsprpsprsprpsprpsrpsprpsprsprpsprpsprpsprpsrpsprsprpsprpsprsprpsprpsprpsprpsprsprpsprpsprpsprpsrspsprprsprsprsprpspsprrrrrrrrprprspsrpsrpsrpsrpsrpsprsprpsrpsrpsprsprsprpsrps
human or machine,0.042,39,prpprsrssrrrppprpsrsspsrsrsrpsspppsprrsrppsppprppssssrsprpsspsprrrsrsprsrrrppssrsrsrspspsspsprpsrsrpprprrrppsprrsrspspprpppsrsrrpprrrrprrsrrspspssprpprsppssrrprsrrprprsprrssssrpssrpprspsrspsspspspprpssprpsrpsrrprppsrpsprrssrpprsrpsprpprprssprpppsrsppsrrsppsrrrprrsrspprprrsppppsrrsrrpprprsspppsppssrs
human or machine,0.042,40,pprspsrpsrpppspsppsppsprpsrpsrpsrpsrsrpsprsprprprsprpsprsprrpppprprpsprpsrpsprpsrppsrpsprsprpsprsprpprpspspprspsrpsrpppspsppsppsprpsrpsrpsrpsrsrpsprsprprprsprpsprsprrpppprprpsprpsrpsprpsrppsrpsprsprpsprsprpprpspspprspsrpsrpppspsppsppsprpsrpsrpsrpsrsrpsprsprprprsprpsprsprrpppprprpsprpsrpsprpsrppsrpsp
human or machine,0.042,41,pppsrpsrpsppprsrrspsrssprsprpsssspsrsrrprsrsrsspsrrpspsprprsrspspsrsrsrpprppsprprrprsrpsrpsssrprprppppprsssrsrpprpsrrrsssrspsssssrsrrpsrsrrrppsssssrssrrpsrsrrrpsppsrspsrsssppsrrspsssrrrrrrssspprrpsrssssrrsrpsrpspppsrssrsprspsprrrspsppsrprssrsrppprrspspssrrrsrsrrprpssrrsprsspsspsspppsrpprrprpprspsppp
human or machine,0.042,42,sprpsprpsrpsprpsprsprpsprsrpsprpsprsprpsprsprpsrpsprpsrpsprpsrpsprsprpsrpsprpsrpsprpsrpsprsprrrpspprsprpsprprpsprpsprsprpsrpsprpsrpsprpsrpsprsprpsrpsprsprpsrpsprpsrpsprsprsprpsprsprsprpsrpsrpspprpsprpsprpsprpsprpsrpsprpsprsprpsprsrpsprpsprsprpsprsprpsrpsprpsrpsprpsrpsprsprpsrpsprpsrpsprpsrpsprsprrrp
human or machine,0.042,43,psprsppssppsppssrpsppspsrsppprsrsssrpspspssrrrsprssrpprsrsssrspspsssrrrpprrssprrrppppssrsrpspprrspssppsppsprrrrprprrpsprpprrrspprpsprsssssrpppsrprprrppprpsrspprppssprrrsrsrprrrrprrrpspsspsprrrprsrpsssprrrprppprsrppspsrrspssrprprsssprprssprsprpssrrsrspsrspprspssrrpprrrrsprrrrrsrpppppppprprrsssssrrrps
human or machine,0.042,44,prsprsrpsrpsprsrpppsrpsrprpspsrpsrsprrpspsrprpsrpsrpsprsrpsrprspspsprsprsprsprsprpssrpsrpsrpsrpsrprspsprpsprsppsrprspsrppsrpsrsprprsrsrsrsprpsprsprsprsprpsrpsprprsprsprsprpsrpsprsprsprsppsrsprsprpsrpsrpsprsprpsprpsprpsprpprpsprsprppspppsprpsprpsrpsprpsprsppsrpsrpprsprsprsprsprsprsrpsrpsprsrpppsrpsrp
human or machine,0.042,45,sprprspprsprppsrpprsprspprsprpsprpsprpsprpsppsprsprppsrpsprpsprpsprsprpsprpspprsprppsrpsprpsprpsprpspsprpsprsprpsprpspsprsprpsprpprpsppsrprsppsrpsrprsprpspprspsprpprsprpsprpsprrpsprpsrpsppsrprpsprpprssprprsprpsrpsprssrpprprsprpsprsprsprpprspsppsrprprsprsprprpspsrpspsprpsprsprpsprrpsprpssrpsppsrprspp
human or machine,0.042,46,rrpssrrrrsrrsrssrrrrprsrppsrpspprppsssppprrprprppppsprprpsrsrpsppsprsspprsspspprprprprprspsrprssprpprpprrssssppsspprrrsrsrprssprprsrrspsprsrssssrrsrssrsrrpprprrsspspppppspppprppprrprpspprpprpsrsprprspppsrpssrsprssrspssssprsrsrsrsrsssrsssrpprrssrpsppsprssrrprsprprsrsspssrpspsrsrsssrrrrppsrprrrpprspps
human or machine,0.042,47,pprsrsspsrpprpspspppssrppsprppsprppprpprrrprppsrrpsssrsspsrrsrssppsrsprsrssprsppprppprsrpsprrspssssrprssprrrpsrsrrpppprrrsrrpsspprsrpsssrpssrppsppprsrssrpsrrssppprppppsrpprsspsrppppsrrprrsrsrspspsrpspsrpspsspsrprrssspprrprprrsprrsrrspsrrpsprsrsppprsrssrrssrrsppsrpssrpsrsssrpprpssrspppprssrrssrspssps
human or machine,0.042,48,rrsprsspssrrrspsprspspsrpspsprsrrpppsprrspspprprsprssrrpprrpprrrsspsrssprrsppppppssprpsrpsrprprspsrppsrrprrpsssssrpppprrppssrprssprrrsrprssprssrrrssppprprsrsssrsrssrsrrsprrsrrrrsprpspspprpsrrrrrprsrsrpprprppsprrrrrsrsssrppsprrsrrppssrpspprsspsppsprpsrrsppprrrrpprrrprpprprppssssssssppsprsssrppprprsss
human or machine,0.042,49,ssrprrrpssrsspprprssrspppprrrssprssppsprsrsprrrssrssprsprsprrrppsrsrspsssppssssrprsrpprrspprrssrsrsrsssrrpspsppprprsrprprprrsrsrppssrrprspssprspsrpsrsppprrppprsprrpsppsrrsprppsppspprrspspspsprsrssppprrsprrrsssrsssrssrrsrspssspssspppsrrprrsrrsrsprrrprppssrpsspsrpprpsssrssrsrpspssprrpspprprsrssprppsrs
human or machine,0.042,50,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrpsrpsrpspsppspspspspsppsspspspspsppspspspspspspsppspspspsppspspspspspspspspspsprrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrpsrpsrpspsppspspspspsppsspspspspsppspspspspspspsppspspspsppspspspspspspspspspsprrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
human or machine,0.042,51,rssprrprrpsppsrpssrsprrrpppppsrpprssprsspsrsrssprrrrrsssprrspprprrpspsrrsprsrrrsrprsrprppssppssrsssrrsssrsppsrpsrrrssrrsrrprrrrsssrpssrspspsprsprsrprrspppppssrpsrppsssspprpppprpppprrpspsspppssrrprrrpssspppspsrpprpsssrrrrrsrssprspsrpsspssspprrsssspsrrpprprsprsrrrprrrrssrprspspssppprppsssspprrprsrpsps
human or machine,0.042,52,prsprsprpsrpsrpsrpsrprpsrpsprprprpsprsprpsrpsrpsprsprsprpsrpspsrpsrpsrpsprpsrpsrpsprsprpsrpsprprpsprpsrpsprsprpsrpsprsprpsrpsprsprpsrpsprsprpsprsprpsrpsrpsprprrpprpsprpsprsprpsrprspsprpsprsprpsrpsrpsprpsrppsprpsrpsprpsrpsprpsrpsrprpprprprprsprpsprpsprpsrpsprpsprsprpsrpsprpsrpsprpsrpsprpsrpsprpsrprrp
human or machine,0.042,53,prsprsprsprsprpsprsprsprsprsprpsrpsprsprpsrpsprsprsprpsrpsprsprpsrpsprsprprprpsprsprpsrpsprsprpsprpsrprpsrpspsrpsrpsrprspsrppsprprsprspsrpsrpsrpsrprspsrprspsrprsprspsrpsrpsrprspsrpsrprsprspsprpsrsprsrpsrprsppsrrsppsrpsrpsprpsrsprpsrpsrpsrpsprpsprpssprrpssrpsrpsrprspsprrspsrprspsprpsrpsrpsrpsrrpssrps
human or machine,0.042,54,psspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsprrspsrrpsrrrrrsspsprpssssprrpsspprsppspsp
human or machine,0.042,55,sprpsrsssprppspspsprrpspspsspsrrpspspsrpsppspppspppppsrprspssrrrrspsprppsprprrpssrssrsppspsspssrrrsrppspssrrrsppspspprpsppsprpprprprpsspsspspspspspssssrsrspsrsrpsrpsrpsrpsrrspsrprpspsprsrpssrspspsrrrspsppprrspsspspsrpsrpsspspsprprpspsprppsprrprrprprrppsprrpssprpsprppsppsprpsrsssprppspspsprrpspspssps
human or machine,0.042,56,rsprpsrpsrpsprsrpsrpsrpsprsrpsrpsrpsprsprpsrpsrprspsrprsprsppsrprspsrpsrpsrprspsprrsppsrrspprspsrprspsrpsrprspsrpprspsrpsrpsrpsrpsprpsrprssprpsrpsrpsprpsprpsprspsprpsrpsrpsrpsprsprprsprspsrpsrpsrprsprsprspprsprsprsprsprspsrprspsrprspprspsrpsrpsrpsrpsrpsrpsprpsrpspsrpsrpsrpsrpsrpsrprsprspsprpsrpspsrp
human or machine,0.042,57,srsrsssrpsrpsrpsrpspsrrsrssprrsprprprrsrrrsprrsrsssppprsppppprrssrrppsrpspsrsrssrppppppprssrprrrrsprsrrsrssppsrppspsppprpspppssrspsrprpprpprpprsssprrsspssrrrprrsrrpppppppspppssrsprsrrrrrprsrpprrsrprssspppsrspssssrssrrprrrrrprrrrrpssssrprrrprsppppssppsprpsrrrprrrsspssrrprsspppsrrssprsssppprrprssrrpsp
human or machine,0.042,58,pprspprpprrpspsrsprpsprsspsrssrprppprrspsrrpspsrpsrpsrrsssprrsrsrpsrsprpsrrsrrpssppsprrprrsrrsssppprprrsrpssrsrrprpsspssrsprprrpprsrrrsrsrppssprrrrsrrrsprrspprsprpsrssrssprpprprrssrsssrrrrrsppspppsppsspsrprppsrrsrpprrpsrprspprrrppssrprpssrrsrsrsrrprsrpsrpprsrsrssrrrrsrrspprrrsrrrpprsprrprrpprpsppsrp
human or machine,0.042,59,pprpsprprsprpsprpsppsprprspsrpsrprsprpsrpsrpsprpsprpsrpsprspsrprsprspsrprpsprrpsrpspprprspsrpsprprspsrpprrpsprpsprpprprrpsprpsrpsprsprpsrpsrprpsprpsrprprpsrprpsrprpsprrsprspsrprpsprrsprpsprprsprpsrpsprpsprsprppsprpsprprprspsrpprpsprprsprpsprpsppsprprspsrpsrprsprpsrpsrpsprpsprpsrpsprspsrprsprspsrprps
