pclass,survived,sex,age,sibsp,parch,sexnum
202,1,1,female,31.0,1,0,0
203,1,1,female,23.0,1,0,0
204,1,0,male,58.0,0,2,1
205,1,1,female,19.0,0,2,0
206,1,0,male,64.0,0,0,1
207,1,1,female,39.0,0,0,0
209,1,1,female,22.0,0,1,0
210,1,0,male,65.0,0,1,1
211,1,0,male,28.5,0,0,1
213,1,0,male,45.5,0,0,1
214,1,0,male,23.0,0,0,1
215,1,0,male,29.0,1,0,1
216,1,1,female,22.0,1,0,0
217,1,0,male,18.0,1,0,1
218,1,1,female,17.0,1,0,0
219,1,1,female,30.0,0,0,0
220,1,1,male,52.0,0,0,1
221,1,0,male,47.0,0,0,1
222,1,1,female,56.0,0,1,0
223,1,0,male,38.0,0,0,1
225,1,0,male,22.0,0,0,1
227,1,1,female,43.0,0,1,0
228,1,0,male,31.0,0,0,1
229,1,1,male,45.0,0,0,1
231,1,1,female,33.0,0,0,0
232,1,0,male,46.0,0,0,1
233,1,0,male,36.0,0,0,1
234,1,1,female,33.0,0,0,0
235,1,0,male,55.0,1,0,1
236,1,1,female,54.0,1,0,0
237,1,0,male,33.0,0,0,1
238,1,1,male,13.0,2,2,1
239,1,1,female,18.0,2,2,0
240,1,1,female,21.0,2,2,0
241,1,0,male,61.0,1,3,1
242,1,1,female,48.0,1,3,0
244,1,1,female,24.0,0,0,0
246,1,1,female,35.0,1,0,0
247,1,1,female,30.0,0,0,0
248,1,1,male,34.0,0,0,1
249,1,1,female,40.0,0,0,0
250,1,1,male,35.0,0,0,1
251,1,0,male,50.0,1,0,1
252,1,1,female,39.0,1,0,0
253,1,1,male,56.0,0,0,1
254,1,1,male,28.0,0,0,1
255,1,0,male,56.0,0,0,1
256,1,0,male,56.0,0,0,1
257,1,0,male,24.0,1,0,1
259,1,1,female,18.0,1,0,0
260,1,1,male,24.0,1,0,1
261,1,1,female,23.0,1,0,0
262,1,1,male,6.0,0,2,1
263,1,1,male,45.0,1,1,1
264,1,1,female,40.0,1,1,0
265,1,0,male,57.0,1,0,1
267,1,1,male,32.0,0,0,1
268,1,0,male,62.0,0,0,1
269,1,1,male,54.0,1,0,1
270,1,1,female,43.0,1,0,0
271,1,1,female,52.0,1,0,0
273,1,1,female,62.0,0,0,0
274,1,0,male,67.0,1,0,1
275,1,0,female,63.0,1,0,0
276,1,0,male,61.0,0,0,1
277,1,1,female,48.0,0,0,0
278,1,1,female,18.0,0,2,0
279,1,0,male,52.0,1,1,1
280,1,1,female,39.0,1,1,0
281,1,1,male,48.0,1,0,1
283,1,0,male,49.0,1,1,1
284,1,1,male,17.0,0,2,1
285,1,1,female,39.0,1,1,0
287,1,1,male,31.0,0,0,1
288,1,0,male,40.0,0,0,1
289,1,0,male,61.0,0,0,1
290,1,0,male,47.0,0,0,1
291,1,1,female,35.0,0,0,0
292,1,0,male,64.0,1,0,1
293,1,1,female,60.0,1,0,0
294,1,0,male,60.0,0,0,1
295,1,0,male,54.0,0,1,1
296,1,0,male,21.0,0,1,1
297,1,1,female,55.0,0,0,0
298,1,1,female,31.0,0,2,0
299,1,0,male,57.0,1,1,1
300,1,1,female,45.0,1,1,0
301,1,0,male,50.0,1,1,1
302,1,0,male,27.0,0,2,1
303,1,1,female,50.0,1,1,0
304,1,1,female,21.0,0,0,0
305,1,0,male,51.0,0,1,1
306,1,1,male,21.0,0,1,1
308,1,1,female,31.0,0,0,0
310,2,0,male,30.0,1,0,1
311,2,1,female,28.0,1,0,0
312,2,0,male,30.0,0,0,1
313,2,0,male,18.0,0,0,1
314,2,0,male,25.0,0,0,1
315,2,0,male,34.0,1,0,1
316,2,1,female,36.0,1,0,0
317,2,0,male,57.0,0,0,1
318,2,0,male,18.0,0,0,1
319,2,0,male,23.0,0,0,1
320,2,1,female,36.0,0,0,0
321,2,0,male,28.0,0,0,1
322,2,0,male,51.0,0,0,1
323,2,1,male,32.0,1,0,1
324,2,1,female,19.0,1,0,0
325,2,0,male,28.0,0,0,1
326,2,1,female,24.0,0,0,0
327,2,1,female,15.0,0,2,0
328,2,0,male,60.0,1,1,1
329,2,1,female,40.0,1,1,0
330,2,1,female,20.0,1,0,0
331,2,0,male,25.0,1,0,1
332,2,1,female,36.0,0,0,0
333,2,0,male,25.0,0,0,1
334,2,0,male,42.0,0,0,1
335,2,1,female,42.0,0,0,0
336,2,1,male,0.8333,0,2,1
337,2,1,male,26.0,1,1,1
338,2,1,female,22.0,1,1,0
339,2,1,female,35.0,0,0,0
341,2,0,male,19.0,0,0,1
342,2,0,female,44.0,1,0,0
343,2,0,male,54.0,1,0,1
344,2,0,male,52.0,0,0,1
345,2,0,male,37.0,1,0,1
346,2,0,female,29.0,1,0,0
347,2,1,female,25.0,1,1,0
348,2,1,female,45.0,0,2,0
349,2,0,male,29.0,1,0,1
350,2,1,female,28.0,1,0,0
351,2,0,male,29.0,0,0,1
352,2,0,male,28.0,0,0,1
353,2,1,male,24.0,0,0,1
354,2,1,female,8.0,0,2,0
355,2,0,male,31.0,1,1,1
356,2,1,female,31.0,1,1,0
357,2,1,female,22.0,0,0,0
358,2,0,female,30.0,0,0,0
360,2,0,male,21.0,0,0,1
362,2,1,male,8.0,1,1,1
363,2,0,male,18.0,0,0,1
364,2,1,female,48.0,0,2,0
365,2,1,female,28.0,0,0,0
366,2,0,male,32.0,0,0,1
367,2,0,male,17.0,0,0,1
368,2,0,male,29.0,1,0,1
369,2,1,female,24.0,1,0,0
370,2,0,male,25.0,0,0,1
371,2,0,male,18.0,0,0,1
372,2,1,female,18.0,0,1,0
373,2,1,female,34.0,0,1,0
374,2,0,male,54.0,0,0,1
375,2,1,male,8.0,0,2,1
376,2,0,male,42.0,1,1,1
377,2,1,female,34.0,1,1,0
378,2,1,female,27.0,1,0,0
379,2,1,female,30.0,1,0,0
380,2,0,male,23.0,0,0,1
381,2,0,male,21.0,0,0,1
382,2,0,male,18.0,0,0,1
383,2,0,male,40.0,1,0,1
384,2,1,female,29.0,1,0,0
385,2,0,male,18.0,0,0,1
386,2,0,male,36.0,0,0,1
388,2,0,female,38.0,0,0,0
389,2,0,male,35.0,0,0,1
390,2,0,male,38.0,1,0,1
391,2,0,male,34.0,1,0,1
392,2,1,female,34.0,0,0,0
393,2,0,male,16.0,0,0,1
394,2,0,male,26.0,0,0,1
395,2,0,male,47.0,0,0,1
396,2,0,male,21.0,1,0,1
397,2,0,male,21.0,1,0,1
398,2,0,male,24.0,0,0,1
399,2,0,male,24.0,0,0,1
400,2,0,male,34.0,0,0,1
401,2,0,male,30.0,0,0,1
402,2,0,male,52.0,0,0,1
403,2,0,male,30.0,0,0,1
404,2,1,male,0.6667,1,1,1
405,2,1,female,24.0,0,2,0
406,2,0,male,44.0,0,0,1
407,2,1,female,6.0,0,1,0
408,2,0,male,28.0,0,1,1
409,2,1,male,62.0,0,0,1
410,2,0,male,30.0,0,0,1
411,2,1,female,7.0,0,2,0
412,2,0,male,43.0,1,1,1
413,2,1,female,45.0,1,1,0
414,2,1,female,24.0,1,2,0
415,2,1,female,24.0,1,2,0
416,2,0,male,49.0,1,2,1
417,2,1,female,48.0,1,2,0
418,2,1,female,55.0,0,0,0
419,2,0,male,50.0,0,0,1
420,2,0,male,44.0,1,0,1
421,2,1,female,29.0,1,0,0
422,2,0,male,21.0,0,0,1
423,2,1,male,42.0,0,0,1
424,2,0,male,63.0,1,0,1
425,2,0,female,60.0,1,0,0
426,2,0,male,33.0,0,0,1
427,2,1,female,17.0,0,0,0
428,2,0,male,42.0,1,0,1
429,2,1,female,24.0,2,1,0
430,2,0,male,47.0,0,0,1
431,2,0,male,24.0,2,0,1
432,2,0,male,22.0,2,0,1
433,2,0,male,32.0,0,0,1
434,2,1,female,23.0,0,0,0
435,2,0,male,34.0,1,0,1
436,2,1,female,24.0,1,0,0
437,2,0,female,22.0,0,0,0
439,2,0,male,35.0,0,0,1
440,2,1,female,45.0,0,0,0
441,2,0,male,57.0,0,0,1
443,2,0,male,31.0,0,0,1
444,2,0,female,26.0,1,1,0
445,2,0,male,30.0,1,1,1
447,2,1,female,1.0,1,2,0
448,2,1,female,3.0,1,2,0
449,2,0,male,25.0,1,2,1
450,2,1,female,22.0,1,2,0
451,2,1,female,17.0,0,0,0
453,2,1,female,34.0,0,0,0
454,2,0,male,36.0,0,0,1
455,2,0,male,24.0,0,0,1
456,2,0,male,61.0,0,0,1
457,2,0,male,50.0,1,0,1
458,2,1,female,42.0,1,0,0
459,2,0,female,57.0,0,0,0
462,2,0,male,30.0,0,0,1
463,2,0,male,40.0,0,0,1
464,2,0,male,32.0,0,0,1
465,2,0,male,30.0,0,0,1
466,2,0,male,46.0,0,0,1
467,2,1,female,13.0,0,1,0
468,2,1,female,41.0,0,1,0
469,2,1,male,19.0,0,0,1
470,2,0,male,39.0,0,0,1
471,2,0,male,48.0,0,0,1
472,2,0,male,70.0,0,0,1
473,2,0,male,27.0,0,0,1
474,2,0,male,54.0,0,0,1
475,2,0,male,39.0,0,0,1
476,2,0,male,16.0,0,0,1
477,2,0,male,62.0,0,0,1
478,2,0,male,32.5,1,0,1
479,2,1,female,14.0,1,0,0
480,2,1,male,2.0,1,1,1
481,2,1,male,3.0,1,1,1
482,2,0,male,36.5,0,2,1
483,2,0,male,26.0,0,0,1
484,2,0,male,19.0,1,1,1
485,2,0,male,28.0,0,0,1
486,2,1,male,20.0,0,0,1
487,2,1,female,29.0,0,0,0
488,2,0,male,39.0,0,0,1
489,2,1,male,22.0,0,0,1
491,2,0,male,23.0,0,0,1
492,2,1,male,29.0,0,0,1
493,2,0,male,28.0,0,0,1
495,2,1,female,50.0,0,1,0
496,2,0,male,19.0,0,0,1
498,2,0,male,41.0,0,0,1
499,2,1,female,21.0,0,1,0
500,2,1,female,19.0,0,0,0
501,2,0,male,43.0,0,1,1
502,2,1,female,32.0,0,0,0
503,2,0,male,34.0,0,0,1
504,2,1,male,30.0,0,0,1
505,2,0,male,27.0,0,0,1
506,2,1,female,2.0,1,1,0
507,2,1,female,8.0,1,1,0
508,2,1,female,33.0,0,2,0
509,2,0,male,36.0,0,0,1
510,2,0,male,34.0,1,0,1
511,2,1,female,30.0,3,0,0
512,2,1,female,28.0,0,0,0
513,2,0,male,23.0,0,0,1
514,2,1,male,0.8333,1,1,1
515,2,1,male,3.0,1,1,1
516,2,1,female,24.0,2,3,0
517,2,1,female,50.0,0,0,0
518,2,0,male,19.0,0,0,1
519,2,1,female,21.0,0,0,0
520,2,0,male,26.0,0,0,1
521,2,0,male,25.0,0,0,1
522,2,0,male,27.0,0,0,1
523,2,1,female,25.0,0,1,0
524,2,1,female,18.0,0,2,0
525,2,1,female,20.0,0,0,0
526,2,1,female,30.0,0,0,0
527,2,0,male,59.0,0,0,1
528,2,1,female,30.0,0,0,0
529,2,0,male,35.0,0,0,1
530,2,1,female,40.0,0,0,0
531,2,0,male,25.0,0,0,1
532,2,0,male,41.0,0,0,1
533,2,0,male,25.0,0,0,1
534,2,0,male,18.5,0,0,1
535,2,0,male,14.0,0,0,1
536,2,1,female,50.0,0,0,0
537,2,0,male,23.0,0,0,1
538,2,1,female,28.0,0,0,0
539,2,1,female,27.0,0,0,0
540,2,0,male,29.0,1,0,1
541,2,0,female,27.0,1,0,0
542,2,0,male,40.0,0,0,1
543,2,1,female,31.0,0,0,0
544,2,0,male,30.0,1,0,1
545,2,0,male,23.0,1,0,1
546,2,1,female,31.0,0,0,0
548,2,1,female,12.0,0,0,0
549,2,1,female,40.0,0,0,0
550,2,1,female,32.5,0,0,0
551,2,0,male,27.0,1,0,1
552,2,1,female,29.0,1,0,0
553,2,1,male,2.0,1,1,1
554,2,1,female,4.0,1,1,0
555,2,1,female,29.0,0,2,0
556,2,1,female,0.9167,1,2,0
557,2,1,female,5.0,1,2,0
558,2,0,male,36.0,1,2,1
559,2,1,female,33.0,1,2,0
560,2,0,male,66.0,0,0,1
562,2,1,male,31.0,0,0,1
564,2,1,female,26.0,0,0,0
565,2,0,female,24.0,0,0,0
566,3,0,male,42.0,0,0,1
567,3,0,male,13.0,0,2,1
568,3,0,male,16.0,1,1,1
569,3,1,female,35.0,1,1,0
570,3,1,female,16.0,0,0,0
571,3,1,male,25.0,0,0,1
572,3,1,male,20.0,0,0,1
573,3,1,female,18.0,0,0,0
574,3,0,male,30.0,0,0,1
575,3,0,male,26.0,0,0,1
576,3,0,female,40.0,1,0,0
577,3,1,male,0.8333,0,1,1
578,3,1,female,18.0,0,1,0
579,3,1,male,26.0,0,0,1
580,3,0,male,26.0,0,0,1
581,3,0,male,20.0,0,0,1
582,3,0,male,4.0,4,2,1
583,3,0,female,6.0,4,2,0
584,3,0,female,2.0,4,2,0
585,3,1,female,17.0,4,2,0
586,3,0,female,38.0,4,2,0
587,3,0,female,9.0,4,2,0
588,3,0,female,11.0,4,2,0
589,3,0,male,39.0,1,5,1
590,3,1,male,27.0,0,0,1
591,3,0,male,26.0,0,0,1
592,3,0,female,39.0,1,5,0
593,3,0,male,20.0,0,0,1
594,3,0,male,26.0,0,0,1
595,3,0,male,25.0,1,0,1
596,3,0,female,18.0,1,0,0
597,3,0,male,24.0,0,0,1
598,3,0,male,35.0,0,0,1
599,3,0,male,5.0,4,2,1
600,3,0,male,9.0,4,2,1
601,3,1,male,3.0,4,2,1
602,3,0,male,13.0,4,2,1
603,3,1,female,5.0,4,2,0
604,3,0,male,40.0,1,5,1
605,3,1,male,23.0,0,0,1
606,3,1,female,38.0,1,5,0
607,3,1,female,45.0,0,0,0
608,3,0,male,21.0,0,0,1
609,3,0,male,23.0,0,0,1
610,3,0,female,17.0,0,0,0
611,3,0,male,30.0,0,0,1
612,3,0,male,23.0,0,0,1
613,3,1,female,13.0,0,0,0
614,3,0,male,20.0,0,0,1
615,3,0,male,32.0,1,0,1
616,3,1,female,33.0,3,0,0
617,3,1,female,0.75,2,1,0
618,3,1,female,0.75,2,1,0
619,3,1,female,5.0,2,1,0
620,3,1,female,24.0,0,3,0
621,3,1,female,18.0,0,0,0
622,3,0,male,40.0,0,0,1
623,3,0,male,26.0,0,0,1
624,3,1,male,20.0,0,0,1
625,3,0,female,18.0,0,1,0
626,3,0,female,45.0,0,1,0
627,3,0,female,27.0,0,0,0
628,3,0,male,22.0,0,0,1
629,3,0,male,19.0,0,0,1
630,3,0,male,26.0,0,0,1
631,3,0,male,22.0,0,0,1
633,3,0,male,20.0,0,0,1
634,3,1,male,32.0,0,0,1
635,3,0,male,21.0,0,0,1
636,3,0,male,18.0,0,0,1
637,3,0,male,26.0,0,0,1
638,3,0,male,6.0,1,1,1
639,3,0,female,9.0,1,1,0
643,3,0,male,40.0,1,1,1
644,3,0,female,32.0,1,1,0
645,3,0,male,21.0,0,0,1
646,3,1,female,22.0,0,0,0
647,3,0,female,20.0,0,0,0
648,3,0,male,29.0,1,0,1
649,3,0,male,22.0,1,0,1
650,3,0,male,22.0,0,0,1
651,3,0,male,35.0,0,0,1
652,3,0,female,18.5,0,0,0
653,3,1,male,21.0,0,0,1
654,3,0,male,19.0,0,0,1
655,3,0,female,18.0,0,0,0
656,3,0,female,21.0,0,0,0
657,3,0,female,30.0,0,0,0
658,3,0,male,18.0,0,0,1
659,3,0,male,38.0,0,0,1
660,3,0,male,17.0,0,0,1
661,3,0,male,17.0,0,0,1
662,3,0,female,21.0,0,0,0
663,3,0,male,21.0,0,0,1
664,3,0,male,21.0,0,0,1
667,3,0,male,28.0,0,0,1
668,3,0,male,24.0,0,0,1
669,3,1,female,16.0,0,0,0
670,3,0,female,37.0,0,0,0
671,3,0,male,28.0,0,0,1
672,3,0,male,24.0,0,0,1
673,3,0,male,21.0,0,0,1
674,3,1,male,32.0,0,0,1
675,3,0,male,29.0,0,0,1
676,3,0,male,26.0,1,0,1
677,3,0,male,18.0,1,0,1
678,3,0,male,20.0,0,0,1
679,3,1,male,18.0,0,0,1
680,3,0,male,24.0,0,0,1
681,3,0,male,36.0,0,0,1
682,3,0,male,24.0,0,0,1
683,3,0,male,31.0,0,0,1
684,3,0,male,31.0,0,0,1
685,3,1,female,22.0,0,0,0
686,3,0,female,30.0,0,0,0
687,3,0,male,70.5,0,0,1
688,3,0,male,43.0,0,0,1
689,3,0,male,35.0,0,0,1
690,3,0,male,27.0,0,0,1
691,3,0,male,19.0,0,0,1
692,3,0,male,30.0,0,0,1
693,3,1,male,9.0,1,1,1
694,3,1,male,3.0,1,1,1
695,3,1,female,36.0,0,2,0
696,3,0,male,59.0,0,0,1
697,3,0,male,19.0,0,0,1
698,3,1,female,17.0,0,1,0
699,3,0,male,44.0,0,1,1
700,3,0,male,17.0,0,0,1
701,3,0,male,22.5,0,0,1
702,3,1,male,45.0,0,0,1
703,3,0,female,22.0,0,0,0
704,3,0,male,19.0,0,0,1
705,3,1,female,30.0,0,0,0
706,3,1,male,29.0,0,0,1
707,3,0,male,0.3333,0,2,1
708,3,0,male,34.0,1,1,1
709,3,0,female,28.0,1,1,0
710,3,0,male,27.0,0,0,1
711,3,0,male,25.0,0,0,1
712,3,0,male,24.0,2,0,1
713,3,0,male,22.0,0,0,1
714,3,0,male,21.0,2,0,1
715,3,0,male,17.0,2,0,1
718,3,1,male,36.5,1,0,1
719,3,1,female,36.0,1,0,0
720,3,1,male,30.0,0,0,1
721,3,0,male,16.0,0,0,1
722,3,1,female,0.1667,1,2,0
723,3,0,male,26.0,1,2,1
724,3,1,female,33.0,1,2,0
725,3,0,male,25.0,0,0,1
728,3,0,male,22.0,0,0,1
729,3,0,male,36.0,0,0,1
730,3,1,female,19.0,0,0,0
731,3,0,male,17.0,0,0,1
732,3,0,male,42.0,0,0,1
733,3,0,male,43.0,0,0,1
735,3,0,male,32.0,0,0,1
736,3,1,male,19.0,0,0,1
737,3,1,female,30.0,0,0,0
738,3,0,female,24.0,0,0,0
739,3,1,female,23.0,0,0,0
740,3,0,male,33.0,0,0,1
741,3,0,male,65.0,0,0,1
742,3,1,male,24.0,0,0,1
743,3,0,male,23.0,1,0,1
744,3,1,female,22.0,1,0,0
745,3,0,male,18.0,0,0,1
746,3,0,male,16.0,0,0,1
747,3,0,male,45.0,0,0,1
749,3,0,male,39.0,0,2,1
750,3,0,male,17.0,1,1,1
751,3,0,male,15.0,1,1,1
752,3,0,male,47.0,0,0,1
753,3,1,female,5.0,0,0,0
755,3,0,male,40.5,0,0,1
757,3,0,male,18.0,0,0,1
761,3,0,male,26.0,0,0,1
764,3,0,female,21.0,2,2,0
765,3,0,female,9.0,2,2,0
767,3,0,male,18.0,2,2,1
768,3,0,male,16.0,1,3,1
769,3,0,female,48.0,1,3,0
772,3,0,male,25.0,0,0,1
775,3,0,male,22.0,0,0,1
776,3,1,female,16.0,0,0,0
778,3,1,male,9.0,0,2,1
779,3,0,male,33.0,1,1,1
780,3,0,male,41.0,0,0,1
781,3,1,female,31.0,1,1,0
782,3,0,male,38.0,0,0,1
783,3,0,male,9.0,5,2,1
784,3,0,male,1.0,5,2,1
785,3,0,male,11.0,5,2,1
786,3,0,female,10.0,5,2,0
787,3,0,female,16.0,5,2,0
788,3,0,male,14.0,5,2,1
789,3,0,male,40.0,1,6,1
790,3,0,female,43.0,1,6,0
791,3,0,male,51.0,0,0,1
792,3,0,male,32.0,0,0,1
794,3,0,male,20.0,0,0,1
795,3,0,male,37.0,2,0,1
796,3,0,male,28.0,2,0,1
797,3,0,male,19.0,0,0,1
798,3,0,female,24.0,0,0,0
799,3,0,female,17.0,0,0,0
802,3,0,male,28.0,1,0,1
803,3,1,female,24.0,1,0,0
804,3,0,male,20.0,0,0,1
805,3,0,male,23.5,0,0,1
806,3,0,male,41.0,2,0,1
807,3,0,male,26.0,1,0,1
808,3,0,male,21.0,0,0,1
809,3,1,female,45.0,1,0,0
811,3,0,male,25.0,0,0,1
813,3,0,male,11.0,0,0,1
815,3,1,male,27.0,0,0,1
817,3,0,female,18.0,0,0,0
818,3,1,female,26.0,0,0,0
819,3,0,female,23.0,0,0,0
820,3,1,female,22.0,0,0,0
821,3,0,male,28.0,0,0,1
822,3,0,female,28.0,0,0,0
824,3,1,female,2.0,0,1,0
825,3,1,female,22.0,1,1,0
826,3,0,male,43.0,0,0,1
827,3,0,male,28.0,0,0,1
828,3,1,female,27.0,0,0,0
831,3,0,male,42.0,0,0,1
833,3,0,male,30.0,0,0,1
835,3,0,female,27.0,1,0,0
836,3,0,female,25.0,1,0,0
838,3,1,male,29.0,0,0,1
839,3,1,male,21.0,0,0,1
841,3,0,male,20.0,0,0,1
842,3,0,male,48.0,0,0,1
843,3,0,male,17.0,1,0,1
846,3,0,male,34.0,0,0,1
847,3,1,male,26.0,0,0,1
848,3,0,male,22.0,0,0,1
849,3,0,male,33.0,0,0,1
850,3,0,male,31.0,0,0,1
851,3,0,male,29.0,0,0,1
852,3,1,male,4.0,1,1,1
853,3,1,female,1.0,1,1,0
854,3,0,male,49.0,0,0,1
855,3,0,male,33.0,0,0,1
856,3,0,male,19.0,0,0,1
857,3,1,female,27.0,0,2,0
862,3,0,male,23.0,0,0,1
863,3,1,male,32.0,0,0,1
864,3,0,male,27.0,0,0,1
865,3,0,female,20.0,1,0,0
866,3,0,female,21.0,1,0,0
867,3,1,male,32.0,0,0,1
868,3,0,male,17.0,0,0,1
869,3,0,male,21.0,0,0,1
870,3,0,male,30.0,0,0,1
871,3,1,male,21.0,0,0,1
872,3,0,male,33.0,0,0,1
873,3,0,male,22.0,0,0,1
