code name,language,favorite number,believes aliens have this many eyes,level of coffee addiction,excitement for cs35,level of poptart love,height in cm,hiking or reading,location
classified,,126,6,21,7,3,,1,winners.splice.order
classified,,126,7,21,84,42,,0,winners.splice.order
classified,,84,6,0,21,126,210,1,varieties.gift.verdict
classified,,210,6,7,3,14,168,1,winners.splice.order
classified,Hmmm,42,3,1,168,210,168,1,strategist.chroniclers.worryingly
classified,racket,84,6,6,42,168,210,0,varieties.gift.verdict
classified,,3,2,126,2,1,210,0,entrepreneur.farmland.chains
classified,racket,3,2,42,7,1,,0,entrepreneur.farmland.chains
classified,,3,6,2,7,7,126,0,juniors.bids.ladder
classified,java,7,14,2,21,14,,1,juniors.bids.ladder
classified,,84,6,21,210,168,126,0,varieties.gift.verdict
classified,,42,3,0,126,210,,0,strategist.chroniclers.worryingly
classified,,3,2,168,2,6,,0,entrepreneur.farmland.chains
classified,python,126,7,1,126,84,168,1,winners.splice.order
classified,,42,3,3,168,210,,0,strategist.chroniclers.worryingly
classified,,3,2,126,1,7,,0,entrepreneur.farmland.chains
classified,,42,3,2,168,210,,1,strategist.chroniclers.worryingly
classified,,14,0,210,126,42,,0,entrepreneur.farmland.chains
classified,,3,2,126,1,2,,1,entrepreneur.farmland.chains
classified,python,7,14,2,3,7,126,1,juniors.bids.ladder
classified,python,126,7,14,126,3,210,1,winners.splice.order
classified,,126,7,1,14,7,,0,winners.splice.order
classified,,84,6,0,21,210,,0,varieties.gift.verdict
classified,,168,3,6,210,0,,0,varieties.gift.verdict
classified,java,84,6,3,21,168,126,0,varieties.gift.verdict
classified,Hmmm,6,14,42,7,2,,0,juniors.bids.ladder
classified,python,21,3,3,1,0,168,1,strategist.chroniclers.worryingly
classified,,7,14,1,42,126,,0,juniors.bids.ladder
classified,racket,42,3,1,210,210,,0,strategist.chroniclers.worryingly
classified,,7,14,1,42,168,,0,juniors.bids.ladder
classified,,84,6,2,84,126,,0,varieties.gift.verdict
classified,Hmmm,3,2,168,1,1,168,1,entrepreneur.farmland.chains
classified,,126,6,168,7,84,168,1,winners.splice.order
classified,,84,6,84,42,126,,0,varieties.gift.verdict
classified,,84,6,6,126,168,168,0,varieties.gift.verdict
classified,,42,3,0,168,210,,0,strategist.chroniclers.worryingly
classified,,3,1,84,42,84,126,0,entrepreneur.farmland.chains
classified,,7,14,1,3,210,,0,juniors.bids.ladder
classified,,126,7,1,42,6,,0,winners.splice.order
classified,Hmmm,42,3,0,168,210,,0,strategist.chroniclers.worryingly
classified,C+,7,6,210,168,1,,0,juniors.bids.ladder
classified,racket,42,3,0,210,210,,1,strategist.chroniclers.worryingly
classified,Hmmm,210,7,3,210,168,,1,winners.splice.order
classified,Hmmm,126,7,6,7,84,168,0,winners.splice.order
classified,,3,2,84,2,14,,0,entrepreneur.farmland.chains
classified,racket,168,7,7,14,168,,0,winners.splice.order
classified,,3,2,42,1,3,210,1,entrepreneur.farmland.chains
classified,,3,6,1,0,2,,1,juniors.bids.ladder
classified,,14,6,7,21,0,,0,strategist.chroniclers.worryingly
classified,java,42,3,6,210,210,126,1,strategist.chroniclers.worryingly
classified,,7,6,14,7,0,,1,juniors.bids.ladder
classified,racket,126,7,7,21,6,,1,winners.splice.order
classified,Hmmm,7,2,168,7,42,,1,entrepreneur.farmland.chains
classified,C+,126,7,21,14,6,,0,winners.splice.order
classified,,84,6,14,21,168,168,0,varieties.gift.verdict
classified,,42,3,3,168,210,,0,strategist.chroniclers.worryingly
classified,C+,3,2,42,7,1,168,1,entrepreneur.farmland.chains
classified,,126,7,7,42,14,,0,winners.splice.order
classified,,7,14,0,6,7,126,0,juniors.bids.ladder
classified,,7,14,1,21,14,126,0,juniors.bids.ladder
classified,,21,3,2,210,210,,1,varieties.gift.verdict
classified,,126,7,6,7,7,168,1,winners.splice.order
classified,,6,0,14,126,1,,0,entrepreneur.farmland.chains
classified,java,84,6,2,126,210,210,0,varieties.gift.verdict
classified,C+,84,6,1,210,126,,0,varieties.gift.verdict
classified,,7,14,2,42,6,,1,juniors.bids.ladder
classified,,126,7,6,21,6,,0,winners.splice.order
classified,,126,7,1,42,2,210,1,winners.splice.order
classified,,3,2,84,1,2,,1,entrepreneur.farmland.chains
classified,,126,7,7,21,21,,1,winners.splice.order
classified,C+,42,3,21,3,84,210,0,strategist.chroniclers.worryingly
classified,,7,14,1,7,6,,1,juniors.bids.ladder
classified,racket,126,7,6,126,42,126,1,winners.splice.order
classified,java,3,2,42,3,1,,0,entrepreneur.farmland.chains
classified,,7,14,1,42,21,,1,juniors.bids.ladder
classified,,84,3,7,0,210,,1,varieties.gift.verdict
classified,,7,14,1,14,6,210,0,juniors.bids.ladder
classified,racket,42,3,6,21,6,,0,strategist.chroniclers.worryingly
classified,,21,6,3,0,3,210,0,strategist.chroniclers.worryingly
classified,java,7,14,1,42,126,,0,juniors.bids.ladder
classified,,7,14,0,21,14,210,1,juniors.bids.ladder
classified,,84,6,0,126,126,126,0,varieties.gift.verdict
classified,,7,14,0,6,84,,0,juniors.bids.ladder
classified,C+,84,6,1,210,168,126,0,varieties.gift.verdict
classified,,126,7,2,14,3,,1,winners.splice.order
classified,,42,3,2,126,210,210,1,strategist.chroniclers.worryingly
classified,python,126,7,21,7,3,,0,winners.splice.order
classified,C+,42,3,168,7,7,,0,strategist.chroniclers.worryingly
classified,,42,3,2,126,210,210,0,strategist.chroniclers.worryingly
classified,,42,3,0,210,210,168,1,strategist.chroniclers.worryingly
classified,,42,6,126,3,84,210,1,strategist.chroniclers.worryingly
classified,python,7,2,14,21,0,,0,strategist.chroniclers.worryingly
classified,,42,3,0,210,210,,0,strategist.chroniclers.worryingly
classified,,126,7,14,84,84,,1,winners.splice.order
classified,,3,6,21,3,3,,1,juniors.bids.ladder
classified,,7,14,0,7,210,,1,juniors.bids.ladder
classified,,84,6,21,210,126,126,0,varieties.gift.verdict
classified,C+,126,7,1,126,14,,0,winners.splice.order
classified,python,7,14,2,7,42,,0,juniors.bids.ladder
classified,,7,14,1,42,84,,0,juniors.bids.ladder
classified,C+,84,6,6,210,210,,0,varieties.gift.verdict
classified,racket,6,14,1,6,6,,1,juniors.bids.ladder
classified,,84,6,2,210,168,,1,varieties.gift.verdict
classified,,7,6,7,126,14,210,1,juniors.bids.ladder
classified,,42,3,3,210,210,,1,strategist.chroniclers.worryingly
classified,,42,3,2,168,210,,0,strategist.chroniclers.worryingly
classified,Hmmm,84,6,3,210,210,,1,varieties.gift.verdict
classified,,42,3,2,168,210,,0,strategist.chroniclers.worryingly
classified,,126,6,6,2,126,,0,varieties.gift.verdict
classified,Hmmm,42,3,3,210,210,168,1,strategist.chroniclers.worryingly
classified,C+,168,6,210,21,126,,0,winners.splice.order
classified,,2,0,126,1,42,,1,entrepreneur.farmland.chains
classified,racket,126,7,21,14,6,,0,winners.splice.order
classified,,126,7,21,6,3,,1,winners.splice.order
classified,,126,7,1,7,3,,0,winners.splice.order
classified,,126,14,0,2,84,,1,winners.splice.order
classified,python,126,6,168,21,168,,1,winners.splice.order
classified,,84,6,14,210,168,,1,varieties.gift.verdict
classified,python,126,7,14,7,7,168,1,winners.splice.order
classified,,7,14,2,21,3,,0,juniors.bids.ladder
classified,,3,2,42,3,3,168,1,entrepreneur.farmland.chains
classified,,84,3,7,2,0,,0,strategist.chroniclers.worryingly
classified,C+,42,3,0,126,210,,1,strategist.chroniclers.worryingly
classified,Hmmm,126,7,14,14,3,,1,winners.splice.order
classified,Hmmm,84,6,21,84,210,,0,varieties.gift.verdict
classified,python,7,14,14,210,6,,1,juniors.bids.ladder
classified,python,2,0,126,6,126,,0,entrepreneur.farmland.chains
classified,,42,3,1,126,210,,1,strategist.chroniclers.worryingly
classified,racket,126,7,3,126,3,168,0,winners.splice.order
classified,,7,14,1,6,84,126,1,juniors.bids.ladder
classified,,126,6,3,42,42,,0,varieties.gift.verdict
classified,,7,14,1,21,84,,0,juniors.bids.ladder
classified,C+,3,2,126,6,3,,1,entrepreneur.farmland.chains
classified,,3,2,84,7,7,,1,entrepreneur.farmland.chains
classified,java,3,2,42,6,6,,1,entrepreneur.farmland.chains
classified,,21,3,6,210,14,,0,varieties.gift.verdict
classified,,14,2,42,3,2,,1,strategist.chroniclers.worryingly
classified,,126,7,0,126,3,126,0,winners.splice.order
classified,java,7,14,0,21,1,,0,juniors.bids.ladder
classified,,42,3,2,168,210,210,1,strategist.chroniclers.worryingly
classified,,42,3,2,126,210,,0,strategist.chroniclers.worryingly
classified,C+,126,7,14,126,6,168,1,winners.splice.order
classified,,126,7,3,42,2,,0,winners.splice.order
classified,,1,2,1,168,7,,0,entrepreneur.farmland.chains
classified,C+,84,6,3,210,210,168,1,varieties.gift.verdict
classified,,42,3,2,168,210,126,1,strategist.chroniclers.worryingly
classified,python,7,14,0,7,7,,0,juniors.bids.ladder
classified,,126,7,1,84,14,168,0,winners.splice.order
classified,,7,14,0,14,14,210,0,juniors.bids.ladder
classified,,168,14,210,14,7,,1,winners.splice.order
classified,,126,7,0,7,14,,0,winners.splice.order
classified,,126,7,0,84,14,,1,winners.splice.order
classified,,126,7,21,21,6,,0,winners.splice.order
classified,,84,6,2,126,210,,1,varieties.gift.verdict
classified,,7,1,21,1,1,,1,entrepreneur.farmland.chains
classified,Hmmm,126,6,84,7,6,,1,winners.splice.order
classified,C+,42,3,2,126,210,168,1,strategist.chroniclers.worryingly
classified,java,6,1,210,3,168,,0,entrepreneur.farmland.chains
classified,java,168,7,2,6,168,,0,varieties.gift.verdict
classified,,84,6,6,84,168,126,1,varieties.gift.verdict
classified,,3,2,42,6,1,,1,entrepreneur.farmland.chains
classified,,21,6,126,2,84,,1,strategist.chroniclers.worryingly
classified,,84,6,3,84,126,,0,varieties.gift.verdict
classified,,126,6,42,0,3,,1,winners.splice.order
classified,,7,14,1,42,168,,0,juniors.bids.ladder
classified,python,84,6,2,84,168,126,1,varieties.gift.verdict
classified,C+,14,1,3,14,21,,0,entrepreneur.farmland.chains
classified,python,84,6,14,42,168,,1,varieties.gift.verdict
classified,java,84,6,84,126,210,,0,varieties.gift.verdict
classified,,84,2,210,3,1,,1,strategist.chroniclers.worryingly
classified,,21,6,210,14,42,,0,strategist.chroniclers.worryingly
classified,,6,2,1,14,6,,1,entrepreneur.farmland.chains
classified,java,7,14,2,14,14,168,1,juniors.bids.ladder
classified,java,126,7,1,126,84,,1,winners.splice.order
classified,,7,14,2,21,126,,0,juniors.bids.ladder
classified,,3,2,84,3,6,,0,entrepreneur.farmland.chains
classified,,84,6,1,42,168,,0,varieties.gift.verdict
classified,,1,1,2,210,84,,0,entrepreneur.farmland.chains
classified,,126,7,6,7,3,168,0,winners.splice.order
classified,C+,3,2,126,7,1,,1,entrepreneur.farmland.chains
classified,C+,42,3,0,126,210,,0,strategist.chroniclers.worryingly
classified,C+,7,7,3,168,1,126,1,juniors.bids.ladder
classified,racket,84,6,7,126,210,,1,varieties.gift.verdict
classified,,42,3,2,168,210,,1,strategist.chroniclers.worryingly
classified,,7,14,0,6,21,,1,juniors.bids.ladder
classified,,3,2,42,3,2,,0,entrepreneur.farmland.chains
classified,racket,42,3,6,168,210,,1,strategist.chroniclers.worryingly
classified,C+,3,2,84,6,2,168,1,entrepreneur.farmland.chains
classified,,21,3,168,14,7,,0,varieties.gift.verdict
classified,C+,21,3,0,14,84,,0,strategist.chroniclers.worryingly
classified,java,3,6,14,0,14,,0,juniors.bids.ladder
classified,,168,7,14,126,2,,1,winners.splice.order
classified,java,84,6,3,126,210,,0,varieties.gift.verdict
classified,,6,7,6,42,0,,0,juniors.bids.ladder
classified,,42,3,6,210,210,210,1,strategist.chroniclers.worryingly
classified,java,6,6,42,84,0,,0,juniors.bids.ladder
classified,java,42,3,2,126,210,,0,strategist.chroniclers.worryingly
classified,,14,2,210,14,3,,0,strategist.chroniclers.worryingly
classified,,84,6,21,42,168,,0,varieties.gift.verdict
classified,,84,6,6,84,168,,1,varieties.gift.verdict
classified,,42,3,3,168,210,210,1,strategist.chroniclers.worryingly
classified,,126,7,7,21,21,,1,winners.splice.order
classified,,3,6,0,168,0,210,1,juniors.bids.ladder
classified,python,7,14,0,6,21,168,0,juniors.bids.ladder
classified,,6,14,14,14,21,210,1,juniors.bids.ladder
classified,racket,84,6,6,168,210,210,0,varieties.gift.verdict
classified,,126,3,210,0,21,126,0,varieties.gift.verdict
classified,Hmmm,210,7,3,126,210,126,0,winners.splice.order
classified,racket,7,14,1,6,42,168,0,juniors.bids.ladder
classified,,7,14,2,3,14,,1,juniors.bids.ladder
classified,,84,6,14,42,210,126,1,varieties.gift.verdict
classified,python,6,6,126,0,42,,1,juniors.bids.ladder
classified,racket,21,6,2,168,6,,0,strategist.chroniclers.worryingly
classified,Hmmm,42,3,3,168,210,126,0,strategist.chroniclers.worryingly
classified,C+,42,3,3,168,210,,0,strategist.chroniclers.worryingly
classified,C+,7,14,1,3,14,,1,juniors.bids.ladder
classified,C+,84,6,14,210,168,126,0,varieties.gift.verdict
classified,,7,14,2,6,84,,0,juniors.bids.ladder
classified,python,84,6,1,168,210,,0,varieties.gift.verdict
classified,,210,7,14,21,2,,1,winners.splice.order
classified,java,84,3,126,126,2,,1,strategist.chroniclers.worryingly
classified,,6,6,14,1,1,,0,juniors.bids.ladder
classified,C+,6,6,6,7,21,168,1,juniors.bids.ladder
classified,python,3,2,126,6,2,,1,entrepreneur.farmland.chains
classified,python,126,14,0,168,0,126,0,winners.splice.order
classified,Hmmm,126,7,7,21,7,,0,winners.splice.order
classified,,14,1,14,2,6,,0,entrepreneur.farmland.chains
classified,,84,6,7,42,126,,0,varieties.gift.verdict
classified,python,6,1,0,42,1,126,0,entrepreneur.farmland.chains
classified,Hmmm,14,3,3,2,84,,0,strategist.chroniclers.worryingly
classified,Hmmm,7,14,2,14,0,,1,juniors.bids.ladder
classified,,84,6,0,42,168,168,0,varieties.gift.verdict
classified,,3,2,168,1,14,,1,entrepreneur.farmland.chains
classified,,7,14,1,3,7,,0,juniors.bids.ladder
classified,,126,7,2,6,6,168,1,winners.splice.order
classified,,126,14,21,14,6,,1,winners.splice.order
classified,Hmmm,84,6,6,7,0,,1,strategist.chroniclers.worryingly
classified,,84,6,14,210,126,,1,varieties.gift.verdict
classified,java,7,14,0,21,21,126,0,juniors.bids.ladder
classified,,210,7,7,84,14,,1,winners.splice.order
classified,,168,14,1,3,210,,1,winners.splice.order
classified,Hmmm,7,14,0,3,3,168,0,juniors.bids.ladder
classified,racket,126,7,2,14,42,168,0,winners.splice.order
classified,python,7,14,2,42,168,126,0,juniors.bids.ladder
classified,,14,0,42,84,2,210,1,entrepreneur.farmland.chains
classified,,7,14,0,42,1,,0,juniors.bids.ladder
classified,java,7,6,0,6,42,168,1,juniors.bids.ladder
classified,python,168,7,21,6,21,,0,varieties.gift.verdict
classified,java,7,14,0,42,6,,1,juniors.bids.ladder
classified,C+,42,3,2,126,210,,0,strategist.chroniclers.worryingly
classified,racket,7,14,0,42,126,210,0,juniors.bids.ladder
classified,,7,7,21,168,14,,1,juniors.bids.ladder
classified,java,42,3,1,126,210,210,1,strategist.chroniclers.worryingly
classified,,84,2,210,6,126,,1,strategist.chroniclers.worryingly
classified,C+,126,7,0,84,14,126,1,winners.splice.order
classified,,7,6,168,1,126,126,0,strategist.chroniclers.worryingly
classified,,210,14,3,14,14,,0,winners.splice.order
classified,java,7,14,0,6,0,210,0,juniors.bids.ladder
classified,java,14,6,210,0,126,,0,strategist.chroniclers.worryingly
classified,,7,6,42,168,84,,1,strategist.chroniclers.worryingly
classified,racket,14,0,126,84,6,210,0,entrepreneur.farmland.chains
classified,,84,6,7,84,126,,0,varieties.gift.verdict
classified,python,14,6,3,7,21,,1,strategist.chroniclers.worryingly
classified,java,7,14,1,14,21,,0,juniors.bids.ladder
